Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[AresParty@56];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Mercury@57];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Atlas3@58];[0.9999995275621303];[0.9999995275621303];[0.9999995275621303];[0.0];[0.9999995275621303];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,38711;0,38711;0,61289;0,61289;0,38711;[AgentH@59];[0.3871129016175645];[0.3871129016175645];[0.3871129016175645];[0.0];[0.3871129016175645];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,92372;0,92372;0,07628;0,07628;0,92372;[SENGOKU@60];[0.9237167085542969];[0.9237167085542969];[0.9237167085542969];[0.0];[0.9237167085542969];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentW@61];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,80555;0,80555;0,19445;0,19445;0,80555;[AgentX@62];[0.8055547252294847];[0.8055547252294847];[0.8055547252294847];[0.0];[0.8055547252294847];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[DrageKnight@63];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[kawaii@64];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentBuyogMain@65];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[XianFaAgent@66];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Groupn@67];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentHP@68];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Group2@69];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,002;2;;60rounds;Yes;No;1;0,85496;0,85496;0,14504;0,14504;0,85496;[PokerFace@70];[0.8549575985978822];[0.8549575985978822];[0.8549575985978822];[0.0];[0.8549575985978822];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[TUDMixedStrategyAgent@71];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[MeanBot@72];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[PNegotiator@73];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,014;2;;60rounds;Yes;No;1;1;1;0;0;1;[RandomDance@74];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[JonnyBlack@75];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[UtilityBasedAcceptor@76];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentFSEGA@77];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Agent_K@78];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[IAMhaggler@79];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;0,97294;0,97294;0,02706;0,02706;0,97294;[IAMcrazyHaggler@80];[0.9729424519406886];[0.9729424519406886];[0.0];[0.0];[0.9729424519406886];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentSmith@81];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Nozomi@82];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Yushu@83];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[TheNegotiator@84];[0.9999990551242605];[0.9999990551242605];[0.0];[0.0];[0.9999990551242605];[Jobs_util8.xml]
0,003;2;;60rounds;Yes;No;1;1;1;0;0;1;[ValueModelAgent@85];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Gahboninho@86];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[BRAMAgent@87];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[KLH@88];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[NiceTitForTat@89];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[IAMhaggler2011@90];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Agent_K2@91];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentLG@92];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentMR@93];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[TheNegotiatorReloaded@94];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[BRAMAgent2@95];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[CUHKAgent@96];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[IAMhaggler2012@97];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[MetaAgent@98];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[OMACagent@99];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[InoxAgent@100];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[TheFawkes@101];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,005;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentKF@102];[0.9999995275621303];[0.9999995275621303];[0.0];[0.0];[0.9999995275621303];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentI@103];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[MetaAgent2013@104];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,008;2;;60rounds;Yes;No;1;1;1;0;0;1;[SlavaAgent@105];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[TMFAgent@106];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentM@107];[0.9999990551242605];[0.9999990551242605];[0.0];[0.0];[0.9999990551242605];[Jobs_util8.xml]
0,003;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentQuest@108];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,579;2;;60rounds;Yes;No;1;0,62326;0,62326;0,37674;0,37674;0,62326;[AgentTD@109];[0.623260210723053];[0.623260210723053];[0.0];[0.0];[0.623260210723053];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;0,39909;0,39909;0,60091;0,60091;0,39909;[AgentTRP@110];[0.3990865318996424];[0.3990865318996424];[0.0];[0.0];[0.3990865318996424];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;0,71623;0,71623;0,28377;0,28377;0,71623;[WhaleAgent@111];[0.7162269930117107];[0.7162269930117107];[0.0];[0.0];[0.7162269930117107];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;0,90042;0,90042;0,09958;0,09958;0,90042;[AgentYK@112];[0.9004219598964344];[0.9004219598964344];[0.0];[0.0];[0.9004219598964344];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Aster@114];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
