max.util.;Agent
1;[BoulwareNegotiationParty@408]
1;[ConcederNegotiationParty@409]
1;[UIAgent@410]
1;[UIAgentExtended@411]
0,83733;[SimpleAgent@412]
0,8399;[RandomCounterOfferNegotiationParty@414]
0,48348;[RandomParty@415]
0,48343;[RandomParty2@416]
0,4817;[Agent33@417]
1;[AgentHerb@418]
0,99593;[AgentNP1@419]
1;[AgreeableAgent2018@420]
1;[ATeamAgent@421]
1;[Group2@422]
1;[ConDAgent@423]
1;[Exp_Rubick@424]
0,99738;[FullAgent@425]
1;[IQSun2018@427]
0,999;[Lancelot@428]
1;[Agent36@430]
0,99743;[PonPokoRampage@431]
1;[Seto@432]
1;[Shiboy@433]
1;[SMAC_Agent@434]
1;[Yeela@436]
0,99955;[AgentF@437]
0,99855;[PonPokoAgent@441]
1;[Rubick@443]
1;[SimpleAgent@444]
1;[AgentHP2_main@445]
1;[AgentLight@446]
0,99743;[Atlas32016@447]
1;[Caduceus@448]
1;[ClockworkAgent@449]
1;[Farma@450]
0,9985;[GrandmaAgent@451]
1;[MaxOops@452]
1;[MyAgent@453]
1;[Ngent@454]
1;[ParsAgent2@455]
1;[ParsCat@456]
0,99693;[SYAgent@457]
0,99855;[Terra@458]
0,84045;[YXAgent@459]
0,00478;[AgentSmith2016@460]
1;[PhoenixParty@461]
1;[CUHKAgent2015@462]
1;[ParsAgent@463]
1;[AresParty@464]
1;[Mercury@465]
0,99788;[Atlas3@466]
0,36131;[AgentH@467]
0,99693;[SENGOKU@468]
1;[AgentW@469]
0,81869;[AgentX@470]
1;[DrageKnight@471]
1;[kawaii@472]
0,99995;[AgentBuyogMain@473]
1;[XianFaAgent@474]
1;[Groupn@475]
1;[AgentHP@476]
1;[Group2@477]
0,99698;[PokerFace@478]
1;[TUDMixedStrategyAgent@479]
1;[MeanBot@480]
1;[PNegotiator@481]
1;[RandomDance@482]
1;[JonnyBlack@483]
1;[UtilityBasedAcceptor@484]
1;[AgentFSEGA@485]
0,99905;[Agent_K@486]
1;[IAMhaggler@487]
0,99855;[IAMcrazyHaggler@488]
1;[AgentSmith@489]
1;[Nozomi@490]
1;[Yushu@491]
0,99738;[TheNegotiator@492]
1;[ValueModelAgent@493]
1;[Gahboninho@494]
1;[BRAMAgent@495]
1;[KLH@496]
1;[NiceTitForTat@497]
1;[IAMhaggler2011@498]
1;[Agent_K2@499]
1;[AgentLG@500]
1;[AgentMR@501]
1;[TheNegotiatorReloaded@502]
1;[BRAMAgent2@503]
1;[CUHKAgent@504]
1;[IAMhaggler2012@505]
1;[MetaAgent@506]
1;[OMACagent@507]
1;[InoxAgent@508]
1;[TheFawkes@509]
0,99593;[AgentKF@510]
1;[AgentI@511]
1;[MetaAgent2013@512]
1;[SlavaAgent@513]
1;[TMFAgent@514]
0,99955;[AgentM@515]
1;[AgentQuest@516]
0,48438;[AgentTD@517]
0,48125;[AgentTRP@518]
0,82216;[WhaleAgent@519]
0,8399;[AgentYK@520]
0,9995;[Aster@522]
0,99905;[BraveCat@524]
1;[DoNA@525]
1;[Flinch@527]
0,67778;[Gangster@528]
0,99995;[Simpatico@530]
0,99733;[Sobut@531]
0,9995;[SimilarityAgent@533]
1;[TimeDependentAgentBoulware@535]
0,84045;[TimeDependentAgentConceder@536]
1;[TimeDependentAgentHardliner@537]
0,99593;[TimeDependentAgentLinear@538]
1;[ImmediateAcceptor@539]
1;[FunctionalAcceptor@541]
1;[BayesianAgent@542]
0,99945;[ABMPAgent2@543]
