sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
;1;Session genius.core.session.Session@519c57b9 failed: failed to construct agent : Execution failed of init<Sontag@435,Participant[Party435,PartyRepositoryItem[Sontag,agents.anac.y2018.sontag.Sontag,ANAC2018, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2018.sontag.Sontag];60rounds;No;;0;;;;;;[Sontag];[0.0];[0.0];;;;[Jobs_util2]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Yeela@436];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,99955;0,99955;0,00045;0,00045;0,99955;[AgentF@437];[0.9995506774087809];[0.9995506774087809];[0.9995506774087809];[0.0];[0.9995506774087809];[Jobs_util2.xml]
;1;Session genius.core.session.Session@1b270bd9 failed: failed to construct agent : Execution failed of init<CaduceusDC16@438,Participant[Party438,PartyRepositoryItem[CaduceusDC16,agents.anac.y2017.caduceusdc16.CaduceusDC16,ANAC2017, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.NullPointerException: null:[agents.anac.y2017.caduceusdc16.CaduceusDC16];60rounds;No;;0;;;;;;[CaduceusDC16];[0.0];[0.0];;;;[Jobs_util2]
;1;Session genius.core.session.Session@2b207cf4 failed: failed to construct agent : Execution failed of init<ShahAgent@439,Participant[Party439,PartyRepositoryItem[ShahAgent,agents.anac.y2017.parsagent3.ShahAgent,ANAC2017, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.parsagent3.ShahAgent];60rounds;No;;0;;;;;;[ShahAgent];[0.0];[0.0];;;;[Jobs_util2]
;1;Session genius.core.session.Session@d4d1cc9 failed: failed to construct agent : Execution failed of init<Mamenchis@440,Participant[Party440,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.mamenchis.Mamenchis];60rounds;No;;0;;;;;;[Mamenchis];[0.0];[0.0];;;;[Jobs_util2]
0,000;2;;60rounds;Yes;No;1;0,99855;0,99855;0,00145;0,00145;0,99855;[PonPokoAgent@441];[0.9985504140275707];[0.9985504140275707];[0.9985504140275707];[0.0];[0.9985504140275707];[Jobs_util2.xml]
;1;Session genius.core.session.Session@35f34179 failed: failed to construct agent : Execution failed of init<AgentKN@442,Participant[Party442,PartyRepositoryItem[AgentKN,agents.anac.y2017.agentkn.AgentKN,ANAC2017 accept Nth offer, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.agentkn.AgentKN];60rounds;No;;0;;;;;;[AgentKN];[0.0];[0.0];;;;[Jobs_util2]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Rubick@443];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[SimpleAgent@444];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentHP2_main@445];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentLight@446];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99743;0,99743;0,00257;0,00257;0,99743;[Atlas32016@447];[0.9974277990689606];[0.9974277990689606];[0.9974277990689606];[0.0];[0.9974277990689606];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Caduceus@448];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,015;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ClockworkAgent@449];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Farma@450];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99850;0,99850;0,00150;0,00150;0,99850;[GrandmaAgent@451];[0.998501062745069];[0.998501062745069];[0.998501062745069];[0.0];[0.998501062745069];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[MaxOops@452];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[MyAgent@453];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Ngent@454];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
4,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ParsAgent2@455];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ParsCat@456];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
