sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[SMAC_Agent@26];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
;1;Session genius.core.session.Session@32f77652 failed: failed to construct agent : Execution failed of init<Sontag@27,Participant[Party27,PartyRepositoryItem[Sontag,agents.anac.y2018.sontag.Sontag,ANAC2018, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2018.sontag.Sontag];60rounds;No;;0;;;;;;[Sontag];[0.0];[0.0];;;;[Jobs_util2]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Yeela@28];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentF@29];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
;1;Session genius.core.session.Session@6e1c8648 failed: failed to construct agent : Execution failed of init<CaduceusDC16@30,Participant[Party30,PartyRepositoryItem[CaduceusDC16,agents.anac.y2017.caduceusdc16.CaduceusDC16,ANAC2017, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.NullPointerException: null:[agents.anac.y2017.caduceusdc16.CaduceusDC16];60rounds;No;;0;;;;;;[CaduceusDC16];[0.0];[0.0];;;;[Jobs_util2]
;1;Session genius.core.session.Session@3b2772ee failed: failed to construct agent : Execution failed of init<ShahAgent@31,Participant[Party31,PartyRepositoryItem[ShahAgent,agents.anac.y2017.parsagent3.ShahAgent,ANAC2017, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.parsagent3.ShahAgent];60rounds;No;;0;;;;;;[ShahAgent];[0.0];[0.0];;;;[Jobs_util2]
;1;Session genius.core.session.Session@57fd87a0 failed: failed to construct agent : Execution failed of init<Mamenchis@32,Participant[Party32,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.mamenchis.Mamenchis];60rounds;No;;0;;;;;;[Mamenchis];[0.0];[0.0];;;;[Jobs_util2]
0,001;2;;60rounds;Yes;No;1;0,99999;0,99999;0,00001;0,00001;0,99999;[PonPokoAgent@33];[0.9999947961085626];[0.9999947961085626];[0.9999947961085626];[0.0];[0.9999947961085626];[Jobs_util2.xml]
;1;Session genius.core.session.Session@5c19a6b7 failed: failed to construct agent : Execution failed of init<AgentKN@34,Participant[Party34,PartyRepositoryItem[AgentKN,agents.anac.y2017.agentkn.AgentKN,ANAC2017 accept Nth offer, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.agentkn.AgentKN];60rounds;No;;0;;;;;;[AgentKN];[0.0];[0.0];;;;[Jobs_util2]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Rubick@35];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[SimpleAgent@36];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentHP2_main@37];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentLight@38];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99999;0,99999;0,00001;0,00001;0,99999;[Atlas32016@39];[0.9999895922171251];[0.9999895922171251];[0.9999895922171251];[0.0];[0.9999895922171251];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Caduceus@40];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,017;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ClockworkAgent@41];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Farma@42];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99999;0,99999;0,00001;0,00001;0,99999;[GrandmaAgent@43];[0.9999895922171251];[0.9999895922171251];[0.9999895922171251];[0.0];[0.9999895922171251];[Jobs_util2.xml]
0,003;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[MaxOops@44];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[MyAgent@45];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Ngent@46];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
4,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ParsAgent2@47];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ParsCat@48];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,99999;0,99999;0,00001;0,00001;0,99999;[SYAgent@49];[0.9999947961085626];[0.9999947961085626];[0.9999947961085626];[0.0];[0.9999947961085626];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Terra@50];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,79406;0,79406;0,20594;0,20594;0,79406;[YXAgent@51];[0.794056017561534];[0.794056017561534];[0.794056017561534];[0.0];[0.794056017561534];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,45231;0,45231;0,54769;0,54769;0,45231;[AgentSmith2016@52];[0.4523143779563022];[0.4523143779563022];[0.4523143779563022];[0.0];[0.4523143779563022];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[PhoenixParty@53];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[CUHKAgent2015@54];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ParsAgent@55];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AresParty@56];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Mercury@57];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Atlas3@58];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,69043;0,69043;0,30957;0,30957;0,69043;[AgentH@59];[0.6904338910156679];[0.6904338910156679];[0.6904338910156679];[0.0];[0.6904338910156679];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,93513;0,93513;0,06487;0,06487;0,93513;[SENGOKU@60];[0.9351342203921011];[0.9351342203921011];[0.9351342203921011];[0.0];[0.9351342203921011];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentW@61];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,79308;0,79308;0,20692;0,20692;0,79308;[AgentX@62];[0.7930819141820178];[0.7930819141820178];[0.7930819141820178];[0.0];[0.7930819141820178];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[DrageKnight@63];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[kawaii@64];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentBuyogMain@65];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[XianFaAgent@66];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Groupn@67];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentHP@68];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Group2@69];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,88349;0,88349;0,11651;0,11651;0,88349;[PokerFace@70];[0.8834888427017618];[0.8834888427017618];[0.8834888427017618];[0.0];[0.8834888427017618];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[TUDMixedStrategyAgent@71];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[MeanBot@72];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[PNegotiator@73];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,017;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[RandomDance@74];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[JonnyBlack@75];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[UtilityBasedAcceptor@76];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentFSEGA@77];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;0,99999;0,99999;0,00001;0,00001;0,99999;[Agent_K@78];[0.9999947961085626];[0.9999947961085626];[0.0];[0.0];[0.9999947961085626];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[IAMhaggler@79];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,99999;0,99999;0,00001;0,00001;0,99999;[IAMcrazyHaggler@80];[0.9999895922171251];[0.9999895922171251];[0.0];[0.0];[0.9999895922171251];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentSmith@81];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Nozomi@82];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Yushu@83];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99999;0,99999;0,00001;0,00001;0,99999;[TheNegotiator@84];[0.9999895922171251];[0.9999895922171251];[0.0];[0.0];[0.9999895922171251];[Jobs_util2.xml]
0,004;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ValueModelAgent@85];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Gahboninho@86];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[BRAMAgent@87];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[KLH@88];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[NiceTitForTat@89];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[IAMhaggler2011@90];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Agent_K2@91];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentLG@92];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentMR@93];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[TheNegotiatorReloaded@94];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,003;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[BRAMAgent2@95];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[CUHKAgent@96];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[IAMhaggler2012@97];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[MetaAgent@98];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[OMACagent@99];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[InoxAgent@100];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[TheFawkes@101];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,003;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentKF@102];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentI@103];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[MetaAgent2013@104];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,008;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[SlavaAgent@105];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[TMFAgent@106];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99999;0,99999;0,00001;0,00001;0,99999;[AgentM@107];[0.9999947961085626];[0.9999947961085626];[0.0];[0.0];[0.9999947961085626];[Jobs_util2.xml]
0,004;2;;60rounds;Yes;No;1;0,99999;0,99999;0,00001;0,00001;0,99999;[AgentQuest@108];[0.9999947961085626];[0.9999947961085626];[0.0];[0.0];[0.9999947961085626];[Jobs_util2.xml]
0,572;2;;60rounds;Yes;No;1;0,65200;0,65200;0,34800;0,34800;0,65200;[AgentTD@109];[0.6520037113514507];[0.6520037113514507];[0.0];[0.0];[0.6520037113514507];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,43755;0,43755;0,56245;0,56245;0,43755;[AgentTRP@110];[0.43754638500970283];[0.43754638500970283];[0.0];[0.0];[0.43754638500970283];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,81401;0,81401;0,18599;0,18599;0,81401;[WhaleAgent@111];[0.8140076786800414];[0.8140076786800414];[0.0];[0.0];[0.8140076786800414];[Jobs_util2.xml]
