Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Yeela@28];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;0,99905;0,99905;0,00095;0,00095;0,99905;[AgentF@29];[0.9990505457181758];[0.9990505457181758];[0.9990505457181758];[0.0];[0.9990505457181758];[Jobs_util2.xml]
;1;Session genius.core.session.Session@42d8e7ef failed: failed to construct agent : Execution failed of init<CaduceusDC16@30,Participant[Party30,PartyRepositoryItem[CaduceusDC16,agents.anac.y2017.caduceusdc16.CaduceusDC16,ANAC2017, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.NullPointerException: null:[agents.anac.y2017.caduceusdc16.CaduceusDC16];60rounds;No;;0;;;;;;[CaduceusDC16];[0.0];[0.0];;;;[Jobs_util2]
;1;Session genius.core.session.Session@d94e8d8 failed: failed to construct agent : Execution failed of init<ShahAgent@31,Participant[Party31,PartyRepositoryItem[ShahAgent,agents.anac.y2017.parsagent3.ShahAgent,ANAC2017, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.parsagent3.ShahAgent];60rounds;No;;0;;;;;;[ShahAgent];[0.0];[0.0];;;;[Jobs_util2]
;1;Session genius.core.session.Session@134bb2d4 failed: failed to construct agent : Execution failed of init<Mamenchis@32,Participant[Party32,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.mamenchis.Mamenchis];60rounds;No;;0;;;;;;[Mamenchis];[0.0];[0.0];;;;[Jobs_util2]
0;2;;60rounds;Yes;No;1;0,99905;0,99905;0,00095;0,00095;0,99905;[PonPokoAgent@33];[0.9990505457181758];[0.9990505457181758];[0.9990505457181758];[0.0];[0.9990505457181758];[Jobs_util2.xml]
;1;Session genius.core.session.Session@766163e1 failed: failed to construct agent : Execution failed of init<AgentKN@34,Participant[Party34,PartyRepositoryItem[AgentKN,agents.anac.y2017.agentkn.AgentKN,ANAC2017 accept Nth offer, is mediator=false],etc/templates/Jobs/Jobs_util2.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.agentkn.AgentKN];60rounds;No;;0;;;;;;[AgentKN];[0.0];[0.0];;;;[Jobs_util2]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Rubick@35];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[SimpleAgent@36];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentHP2_main@37];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentLight@38];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99995;0,99995;5E-05;5E-05;0,99995;[Atlas32016@39];[0.9999506487174983];[0.9999506487174983];[0.9999506487174983];[0.0];[0.9999506487174983];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Caduceus@40];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,016;2;;60rounds;Yes;No;1;1;1;0;0;1;[ClockworkAgent@41];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Farma@42];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99783;0,99783;0,00217;0,00217;0,99783;[GrandmaAgent@43];[0.997827770377678];[0.997827770377678];[0.997827770377678];[0.0];[0.997827770377678];[Jobs_util2.xml]
0,003;2;;60rounds;Yes;No;1;1;1;0;0;1;[MaxOops@44];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[MyAgent@45];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Ngent@46];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
4,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[ParsAgent2@47];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[ParsCat@48];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,9995;0,9995;0,0005;0,0005;0,9995;[SYAgent@49];[0.9995013261262792];[0.9995013261262792];[0.9995013261262792];[0.0];[0.9995013261262792];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99688;0,99688;0,00312;0,00312;0,99688;[Terra@50];[0.9968768582789695];[0.9968768582789695];[0.9968768582789695];[0.0];[0.9968768582789695];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,9995;0,9995;0,0005;0,0005;0,9995;[YXAgent@51];[0.9995013261262792];[0.9995013261262792];[0.9995013261262792];[0.0];[0.9995013261262792];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,32176;0,32176;0,67824;0,67824;0,32176;[AgentSmith2016@52];[0.32175765359695124];[0.32175765359695124];[0.32175765359695124];[0.0];[0.32175765359695124];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[PhoenixParty@53];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[CUHKAgent2015@54];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[ParsAgent@55];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[AresParty@56];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Mercury@57];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,9995;0,9995;0,0005;0,0005;0,9995;[Atlas3@58];[0.9995013261262792];[0.9995013261262792];[0.9995013261262792];[0.0];[0.9995013261262792];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,64125;0,64125;0,35875;0,35875;0,64125;[AgentH@59];[0.641250550718628];[0.641250550718628];[0.641250550718628];[0.0];[0.641250550718628];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99643;0,99643;0,00357;0,00357;0,99643;[SENGOKU@60];[0.9964289935046348];[0.9964289935046348];[0.9964289935046348];[0.0];[0.9964289935046348];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentW@61];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,81859;0,81859;0,18141;0,18141;0,81859;[AgentX@62];[0.8185897062663288];[0.8185897062663288];[0.8185897062663288];[0.0];[0.8185897062663288];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[DrageKnight@63];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[kawaii@64];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;0,99995;0,99995;5E-05;5E-05;0,99995;[AgentBuyogMain@65];[0.9999506487174983];[0.9999506487174983];[0.9999506487174983];[0.0];[0.9999506487174983];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[XianFaAgent@66];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Groupn@67];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentHP@68];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Group2@69];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99688;0,99688;0,00312;0,00312;0,99688;[PokerFace@70];[0.9968783160958538];[0.9968783160958538];[0.9968783160958538];[0.0];[0.9968783160958538];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[TUDMixedStrategyAgent@71];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[MeanBot@72];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[PNegotiator@73];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,011;2;;60rounds;Yes;No;1;1;1;0;0;1;[RandomDance@74];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[JonnyBlack@75];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[UtilityBasedAcceptor@76];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentFSEGA@77];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[Agent_K@78];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[IAMhaggler@79];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;0,99638;0,99638;0,00362;0,00362;0,99638;[IAMcrazyHaggler@80];[0.9963781844052487];[0.9963781844052487];[0.0];[0.0];[0.9963781844052487];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentSmith@81];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Nozomi@82];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Yushu@83];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;0,99855;0,99855;0,00145;0,00145;0,99855;[TheNegotiator@84];[0.998551871844455];[0.998551871844455];[0.0];[0.0];[0.998551871844455];[Jobs_util2.xml]
