version, Iteration 1, Iteration 2, Iteration 3, Iteration 4, Iteration 5, Iteration 6, Iteration 7, Iteration 8, Iteration 9, Iteration 10, Iteration 11, Iteration 12, Iteration 13, Iteration 14, Iteration 15, Iteration 16, Iteration 17, Iteration 18, Iteration 19, Iteration 20, Iteration 21, Iteration 22, Iteration 23, Iteration 24, Iteration 25, Iteration 26, Iteration 27, Iteration 28, Iteration 29, Iteration 30, Iteration 31, Iteration 32, Iteration 33, Iteration 34, Iteration 35, Iteration 36, Iteration 37, Iteration 38, Iteration 39, Iteration 40, Iteration 41, Iteration 42, Iteration 43, Iteration 44, Iteration 45, Iteration 46, Iteration 47, Iteration 48, Iteration 49, Iteration 50
aat_agent_nn_salary_v2_sem_experiencia, 0.029250383377075195, 0.020519733428955078, 0.01838827133178711, 0.02266407012939453, 0.02389049530029297, 0.027065753936767578, 0.028479576110839844, 0.03145909309387207, 0.03258252143859863, 0.03366518020629883, 0.05758309364318848, 0.04030871391296387, 0.03983664512634277, 0.039998531341552734, 0.04699373245239258, 0.049373626708984375, 0.05505537986755371, 0.04807853698730469, 0.05424785614013672, 0.05476236343383789, 0.062279462814331055, 0.05833911895751953, 0.0603175163269043, 0.06181740760803223, 0.06194806098937988, 0.0641179084777832, 0.06690287590026855, 0.06936764717102051, 0.07031488418579102, 0.08538365364074707, 0.0763235092163086, 0.07620501518249512, 0.08073282241821289, 0.09004426002502441, 0.08496809005737305, 0.08597445487976074, 0.08568000793457031, 0.0895683765411377, 0.10828566551208496, 0.09373235702514648, 0.09790372848510742, 0.09779524803161621, 0.09830617904663086, 0.10177826881408691, 0.10392475128173828, 0.11860537528991699, 0.10720992088317871, 0.10869646072387695, 0.11016631126403809, 0.11334919929504395
aat_agent_salary_2, 0.014992237091064453, 0.015499114990234375, 0.016353130340576172, 0.017667055130004883, 0.01866936683654785, 0.019442081451416016, 0.021756649017333984, 0.04375290870666504, 0.024011611938476562, 0.024233341217041016, 0.025066614151000977, 0.026942968368530273, 0.027708768844604492, 0.03001689910888672, 0.03009819984436035, 0.031122446060180664, 0.03290820121765137, 0.03473377227783203, 0.0337674617767334, 0.035430908203125, 0.03604555130004883, 0.03781723976135254, 0.04082512855529785, 0.03932619094848633, 0.04133892059326172, 0.04273200035095215, 0.04401874542236328, 0.04503917694091797, 0.04835772514343262, 0.048029422760009766, 0.049674272537231445, 0.05243539810180664, 0.05353283882141113, 0.05903458595275879, 0.06244635581970215, 0.06151628494262695, 0.062488555908203125, 0.06308436393737793, 0.07502460479736328, 0.0653846263885498, 0.07360076904296875, 0.06255769729614258, 0.07264161109924316, 0.06871271133422852, 0.06793427467346191, 0.0701296329498291, 0.07042360305786133, 0.07158064842224121, 0.07194685935974121, 0.07403349876403809
aat_agent_nn_artigo_version 0.0857095718383789, 0.009243249893188477, 0.010412216186523438, 0.012346267700195312, 0.014231681823730469, 0.01602911949157715, 0.017920970916748047, 0.021770715713500977, 0.03176617622375488, 0.03883934020996094, 0.042215824127197266, 0.0683584213256836, 0.053170204162597656, 0.05400872230529785, 0.0624392032623291, 0.07380867004394531, 0.07316446304321289, 0.08606147766113281, 0.07994461059570312, 0.10242271423339844, 0.1136167049407959, 0.11261487007141113, 0.11955714225769043, 0.14341115951538086, 0.12388873100280762, 0.14942383766174316, 0.17264676094055176, 0.18988800048828125, 0.21755242347717285, 0.1953592300415039, 0.20415973663330078, 0.2289872169494629, 0.22246050834655762, 0.25789713859558105, 0.2564103603363037, 0.26430416107177734, 0.30452442169189453, 0.3312230110168457, 0.3360438346862793, 0.3483448028564453, 0.3698463439941406, 0.3658442497253418, 0.3870832920074463, 0.3963027000427246, 0.459181547164917, 0.4362812042236328, 0.5012965202331543, 0.4820849895477295, 0.4737105369567871, 0.5418860912322998, 0.5972638130187988
aat_agent_nn_artigo_version_2 0.05299830436706543, 0.013041257858276367, 0.01482701301574707, 0.01346278190612793, 0.01674485206604004, 0.018596410751342773, 0.019428491592407227, 0.024250507354736328, 0.024525880813598633, 0.025973081588745117, 0.030704021453857422, 0.042244911193847656, 0.03352713584899902, 0.031024456024169922, 0.034147024154663086, 0.03365278244018555, 0.03580284118652344, 0.03818345069885254, 0.04050397872924805, 0.0407872200012207, 0.04292106628417969, 0.0447084903717041, 0.04702353477478027, 0.04665875434875488, 0.0479578971862793, 0.07400035858154297, 0.05311775207519531, 0.05801081657409668, 0.06046772003173828, 0.058013916015625, 0.061525583267211914, 0.060918569564819336, 0.08823513984680176, 0.0676274299621582, 0.06873750686645508, 0.06743574142456055, 0.06854033470153809, 0.0701284408569336, 0.07063555717468262, 0.072662353515625, 0.07548308372497559, 0.0759127140045166, 0.07909822463989258, 0.10956907272338867, 0.08331465721130371, 0.0908350944519043, 0.08640789985656738, 0.09039020538330078, 0.11187005043029785, 0.08969759941101074, 0.09188461303710938

0.045710086822509766, 0.012423038482666016, 0.011657953262329102, 0.012899160385131836, 0.014183521270751953, 0.015844345092773438, 0.020017385482788086, 0.019622802734375, 0.021916627883911133, 0.02345585823059082, 0.025309085845947266, 0.025165081024169922, 0.026129722595214844, 0.02737283706665039, 0.029350996017456055, 0.03462815284729004, 0.03357267379760742, 0.033211469650268555, 0.034027099609375, 0.03901529312133789, 0.04028463363647461, 0.041349172592163086, 0.04992270469665527, 0.047394514083862305, 0.04700946807861328, 0.06760215759277344, 0.04570436477661133, 0.04770255088806152, 0.05016517639160156, 0.05126452445983887, 0.0553278923034668, 0.05954861640930176, 0.06302189826965332, 0.059780120849609375, 0.058913469314575195, 0.061974525451660156, 0.06521844863891602, 0.06362438201904297, 0.0693974494934082, 0.071502685546875, 0.07369804382324219, 0.0771322250366211, 0.08176112174987793, 0.08083391189575195, 0.082427978515625, 0.0806889533996582, 0.08414196968078613, 0.0839083194732666, 0.08328080177307129, 0.08817338943481445, 0.1008653640747070

tempos novos
0.044826507568359375, 0.013172626495361328, 0.012485742568969727, 0.01249074935913086, 0.014371395111083984, 0.016469240188598633, 0.01826953887939453, 0.020586252212524414, 0.020908355712890625, 0.034584999084472656, 0.03518390655517578, 0.027683258056640625, 0.02707839012145996, 0.031256675720214844, 0.032591819763183594, 0.03960704803466797, 0.03772401809692383, 0.03745555877685547, 0.03940629959106445, 0.04077792167663574, 0.04871249198913574, 0.04821324348449707, 0.041744232177734375, 0.04310441017150879, 0.0439605712890625, 0.06863665580749512, 0.04704022407531738, 0.05038094520568848, 0.060903310775756836, 0.05252265930175781, 0.052420854568481445, 0.055797576904296875, 0.05913376808166504, 0.05770611763000488, 0.058837175369262695, 0.059775590896606445, 0.061450958251953125, 0.06396842002868652, 0.06508040428161621, 0.06501340866088867, 0.06900596618652344, 0.06909990310668945, 0.07068467140197754, 0.07149219512939453, 0.07557272911071777, 0.07366514205932617, 0.0750734806060791, 0.0780339241027832, 0.07851600646972656, 0.07968926429748535, 0.08292341232299805

